date;TE0037;TE0038;TE0039;TE0040;TE0041;TE0042;TE0043;TE0044;TE0045;TE0046;TE0047;TE0048;TE1001;TE1002;TE1003;TE1004;TE0049;TE0050;TE0051;TE0052;TE0053;TE0054;TE0055;TE0056;TE0057;TE0058;TE0059;TE0060;PE0006;
1504335182;101.98000;103.60000;106.45000;117.99000;100.44000;102.92000;107.43000;118.20000;102.34000;104.06000;106.21000;119.05000;100.06000;102.52000;106.85000;117.94000;87.63700;87.54100;87.44700;87.46100;87.44100;87.49200;87.41400;87.38300;99.34300;110.06000;119.51000;128.95000;998.10999;
1504335193;101.99000;103.58000;106.44000;117.98000;100.42000;102.90000;107.41000;118.18000;102.33000;104.06000;106.22000;119.01000;100.06000;102.52000;106.85000;117.94000;87.63700;87.54100;87.44700;87.46100;87.44100;87.49200;87.41400;87.38300;99.34300;110.06000;119.51000;128.95000;998.10999;
1504335195;101.99000;103.58000;106.44000;117.98000;100.42000;102.90000;107.41000;118.18000;102.33000;104.06000;106.22000;119.01000;100.06000;102.52000;106.85000;117.94000;87.63500;87.53800;87.45900;87.47700;87.42700;87.47800;87.43100;87.40200;99.31900;110.04000;119.48000;128.92999;998.10999;
1504335199;101.99000;103.58000;106.44000;117.98000;100.42000;102.90000;107.41000;118.18000;102.33000;104.06000;106.22000;119.01000;100.06000;102.54000;106.84000;117.92000;87.63500;87.53800;87.45900;87.47700;87.42700;87.47800;87.43100;87.40200;99.31900;110.04000;119.48000;128.92999;998.70001;
1504335210;101.98000;103.57000;106.42000;117.95000;100.43000;102.92000;107.41000;118.15000;102.33000;104.05000;106.20000;119.00000;100.06000;102.54000;106.84000;117.92000;87.63900;87.54400;87.46600;87.45900;87.42700;87.47800;87.43100;87.40200;99.31900;110.04000;119.48000;128.92999;998.70001;
1504335211;101.98000;103.57000;106.42000;117.95000;100.43000;102.92000;107.41000;118.15000;102.33000;104.05000;106.20000;119.00000;100.06000;102.54000;106.84000;117.92000;87.63900;87.54400;87.46600;87.45900;87.41700;87.47000;87.43400;87.36100;99.31200;110.02000;119.45000;128.88000;998.70001;
1504335215;101.98000;103.57000;106.42000;117.95000;100.43000;102.92000;107.41000;118.15000;102.33000;104.05000;106.20000;119.00000;100.04000;102.51000;106.84000;117.92000;87.63900;87.54400;87.46600;87.45900;87.41700;87.47000;87.43400;87.36100;99.31200;110.02000;119.45000;128.88000;998.70001;
1504335216;101.98000;103.57000;106.42000;117.95000;100.43000;102.92000;107.41000;118.15000;102.33000;104.05000;106.20000;119.00000;100.04000;102.51000;106.83000;117.89000;87.63900;87.54400;87.46600;87.45900;87.41700;87.47000;87.43400;87.36100;99.31200;110.02000;119.45000;128.88000;998.37000;
1504335227;101.99000;103.59000;106.41000;117.93000;100.44000;102.90000;107.40000;118.10000;102.31000;104.05000;106.18000;118.98000;100.04000;102.51000;106.83000;117.89000;87.67800;87.54600;87.47900;87.47500;87.41300;87.47000;87.43400;87.36100;99.31200;110.02000;119.45000;128.88000;998.37000;
1504335229;101.99000;103.59000;106.41000;117.93000;100.44000;102.90000;107.40000;118.10000;102.31000;104.05000;106.18000;118.98000;100.04000;102.51000;106.83000;117.89000;87.67800;87.54600;87.47900;87.47500;87.41300;87.44000;87.40000;87.43500;99.31400;110.01000;119.43000;128.88000;998.37000;
1504335232;101.99000;103.59000;106.41000;117.93000;100.44000;102.90000;107.40000;118.10000;102.31000;104.05000;106.18000;118.98000;100.04000;102.51000;106.82000;117.89000;87.67800;87.54600;87.47900;87.47500;87.41300;87.44000;87.40000;87.43500;99.31400;110.01000;119.43000;128.88000;998.37000;
1504335234;101.99000;103.59000;106.41000;117.93000;100.44000;102.90000;107.40000;118.10000;102.31000;104.05000;106.18000;118.98000;100.04000;102.51000;106.82000;117.87000;87.67800;87.54600;87.47900;87.47500;87.41300;87.44000;87.40000;87.43500;99.31400;110.01000;119.43000;128.88000;998.60999;
1504335244;101.97000;103.57000;106.41000;117.92000;100.43000;102.90000;107.38000;118.12000;102.32000;104.03000;106.18000;118.95000;100.04000;102.51000;106.82000;117.87000;87.62000;87.52900;87.46700;87.46200;87.44100;87.42800;87.40000;87.43500;99.31400;110.01000;119.43000;128.88000;998.60999;
1504335245;101.97000;103.57000;106.41000;117.92000;100.43000;102.90000;107.38000;118.12000;102.32000;104.03000;106.18000;118.95000;100.04000;102.51000;106.82000;117.87000;87.62000;87.52900;87.46700;87.46200;87.44100;87.42800;87.40400;87.38100;99.31500;110.01000;119.42000;128.88000;998.60999;
1504335248;101.97000;103.57000;106.41000;117.92000;100.43000;102.90000;107.38000;118.12000;102.32000;104.03000;106.18000;118.95000;100.03000;102.55000;106.81000;117.86000;87.62000;87.52900;87.46700;87.46200;87.44100;87.42800;87.40400;87.38100;99.31500;110.01000;119.42000;128.88000;998.60999;
1504335249;101.97000;103.57000;106.41000;117.92000;100.43000;102.90000;107.38000;118.12000;102.32000;104.03000;106.18000;118.95000;100.03000;102.55000;106.81000;117.86000;87.62000;87.52900;87.46700;87.46200;87.44100;87.42800;87.40400;87.38100;99.31500;110.01000;119.42000;128.88000;998.40997;
1504335260;101.96000;103.55000;106.39000;117.88000;100.42000;102.90000;107.36000;118.09000;102.33000;104.02000;106.16000;118.94000;100.03000;102.55000;106.81000;117.86000;87.64000;87.54700;87.47800;87.46000;87.39700;87.42800;87.40400;87.38100;99.31500;110.01000;119.42000;128.88000;998.40997;
1504335261;101.96000;103.55000;106.39000;117.88000;100.42000;102.90000;107.36000;118.09000;102.33000;104.02000;106.16000;118.94000;100.03000;102.55000;106.81000;117.86000;87.64000;87.54700;87.47800;87.46000;87.39700;87.43400;87.42700;87.38400;99.29200;110.00000;119.39000;128.83000;998.40997;
1504335264;101.96000;103.55000;106.39000;117.88000;100.42000;102.90000;107.36000;118.09000;102.33000;104.02000;106.16000;118.94000;100.03000;102.50000;106.79000;117.83000;87.64000;87.54700;87.47800;87.46000;87.39700;87.43400;87.42700;87.38400;99.29200;110.00000;119.39000;128.83000;998.40997;
1504335265;101.96000;103.55000;106.39000;117.88000;100.42000;102.90000;107.36000;118.09000;102.33000;104.02000;106.16000;118.94000;100.03000;102.50000;106.79000;117.83000;87.64000;87.54700;87.47800;87.46000;87.39700;87.43400;87.42700;87.38400;99.29200;110.00000;119.39000;128.83000;998.03003;
1504335276;101.96000;103.56000;106.39000;117.87000;100.42000;102.88000;107.39000;118.08000;102.31000;104.02000;106.15000;118.92000;100.03000;102.50000;106.79000;117.83000;87.64000;87.54700;87.47800;87.46000;87.39700;87.43400;87.42700;87.38400;99.29200;110.00000;119.39000;128.83000;998.03003;
1504335278;101.96000;103.56000;106.39000;117.87000;100.42000;102.88000;107.39000;118.08000;102.31000;104.02000;106.15000;118.92000;100.03000;102.50000;106.79000;117.83000;87.63800;87.54300;87.48400;87.47900;87.39100;87.44600;87.43500;87.38800;99.26900;109.97000;119.38000;128.83000;998.03003;
1504335282;101.96000;103.56000;106.39000;117.87000;100.42000;102.88000;107.39000;118.08000;102.31000;104.02000;106.15000;118.92000;100.02000;102.57000;106.79000;117.82000;87.63800;87.54300;87.48400;87.47900;87.39100;87.44600;87.43500;87.38800;99.26900;109.97000;119.38000;128.83000;997.65997;
1504335293;101.96000;103.54000;106.37000;117.85000;100.40000;102.87000;107.39000;118.06000;102.30000;104.01000;106.13000;118.89000;100.02000;102.57000;106.79000;117.82000;87.64400;87.54400;87.48400;87.47900;87.39100;87.44600;87.43500;87.38800;99.26900;109.97000;119.38000;128.83000;997.65997;
1504335295;101.96000;103.54000;106.37000;117.85000;100.40000;102.87000;107.39000;118.06000;102.30000;104.01000;106.13000;118.89000;100.02000;102.57000;106.79000;117.82000;87.64400;87.54400;87.47200;87.47200;87.40200;87.43700;87.38800;87.40500;99.27100;109.96000;119.36000;128.81000;997.65997;
1504335298;101.96000;103.54000;106.37000;117.85000;100.40000;102.87000;107.39000;118.06000;102.30000;104.01000;106.13000;118.89000;100.01000;102.49000;106.79000;117.82000;87.64400;87.54400;87.47200;87.47200;87.40200;87.43700;87.38800;87.40500;99.27100;109.96000;119.36000;128.81000;997.65997;
